"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 13 09:24:33 GMT 2023","Tue Jun 13 09:24:33 GMT 2023","512","tests","get_test","GetTouristEndpointTests","","","Successfully create a tourist and retrieve it with wrong id","Test successfully creates a tourist but retrieves tourist by wrong id"
"passed","Tue Jun 13 09:24:28 GMT 2023","Tue Jun 13 09:24:28 GMT 2023","485","tests","auth_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 09:24:28 GMT 2023","Tue Jun 13 09:24:29 GMT 2023","483","tests","auth_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password"
"passed","Tue Jun 13 09:24:30 GMT 2023","Tue Jun 13 09:24:30 GMT 2023","505","tests","auth_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 09:24:29 GMT 2023","Tue Jun 13 09:24:29 GMT 2023","557","tests","auth_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 09:24:32 GMT 2023","Tue Jun 13 09:24:33 GMT 2023","486","tests","get_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with invalid id"
"failed","Tue Jun 13 09:24:32 GMT 2023","Tue Jun 13 09:24:32 GMT 2023","510","tests","get_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"passed","Tue Jun 13 09:24:27 GMT 2023","Tue Jun 13 09:24:28 GMT 2023","591","tests","auth_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"passed","Tue Jun 13 09:24:27 GMT 2023","Tue Jun 13 09:24:27 GMT 2023","530","tests","auth_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 09:24:29 GMT 2023","Tue Jun 13 09:24:30 GMT 2023","499","tests","auth_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 09:24:30 GMT 2023","Tue Jun 13 09:24:31 GMT 2023","499","tests","auth_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 09:24:31 GMT 2023","Tue Jun 13 09:24:32 GMT 2023","485","tests","auth_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 09:24:31 GMT 2023","Tue Jun 13 09:24:31 GMT 2023","499","tests","auth_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
