"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 13:40:25 GMT 2023","Tue Jun 13 13:40:26 GMT 2023","637","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"failed","Tue Jun 13 13:40:29 GMT 2023","Tue Jun 13 13:40:30 GMT 2023","543","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"passed","Tue Jun 13 13:40:24 GMT 2023","Tue Jun 13 13:40:25 GMT 2023","641","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 13:40:25 GMT 2023","Tue Jun 13 13:40:25 GMT 2023","524","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password and valid email"
"failed","Tue Jun 13 13:40:23 GMT 2023","Tue Jun 13 13:40:24 GMT 2023","651","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"passed","Tue Jun 13 13:40:26 GMT 2023","Tue Jun 13 13:40:27 GMT 2023","575","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with invalid email"
"passed","Tue Jun 13 13:40:30 GMT 2023","Tue Jun 13 13:40:31 GMT 2023","527","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with wrong id","Test unsuccessfully retrieves tourist by wrong id"
"passed","Tue Jun 13 13:40:27 GMT 2023","Tue Jun 13 13:40:28 GMT 2023","654","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 13:40:23 GMT 2023","Tue Jun 13 13:40:23 GMT 2023","670","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 13:40:28 GMT 2023","Tue Jun 13 13:40:28 GMT 2023","670","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"passed","Tue Jun 13 13:40:26 GMT 2023","Tue Jun 13 13:40:26 GMT 2023","624","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 13:40:30 GMT 2023","Tue Jun 13 13:40:30 GMT 2023","527","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with an invalid alphanumeric id"
"passed","Tue Jun 13 13:40:28 GMT 2023","Tue Jun 13 13:40:29 GMT 2023","625","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
