"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 11:11:22 GMT 2023","Tue Jun 13 11:11:22 GMT 2023","504","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 11:11:22 GMT 2023","Tue Jun 13 11:11:23 GMT 2023","498","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"failed","Tue Jun 13 11:11:25 GMT 2023","Tue Jun 13 11:11:25 GMT 2023","520","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"passed","Tue Jun 13 11:11:23 GMT 2023","Tue Jun 13 11:11:24 GMT 2023","494","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 11:11:26 GMT 2023","Tue Jun 13 11:11:26 GMT 2023","495","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with wrong id","Test unsuccessfully retrieves tourist by wrong id"
"passed","Tue Jun 13 11:11:23 GMT 2023","Tue Jun 13 11:11:23 GMT 2023","483","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with invalid email"
"passed","Tue Jun 13 11:11:24 GMT 2023","Tue Jun 13 11:11:24 GMT 2023","499","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"failed","Tue Jun 13 11:11:20 GMT 2023","Tue Jun 13 11:11:21 GMT 2023","512","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"passed","Tue Jun 13 11:11:21 GMT 2023","Tue Jun 13 11:11:22 GMT 2023","476","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password and valid email"
"passed","Tue Jun 13 11:11:19 GMT 2023","Tue Jun 13 11:11:20 GMT 2023","527","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 11:11:24 GMT 2023","Tue Jun 13 11:11:25 GMT 2023","488","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 11:11:25 GMT 2023","Tue Jun 13 11:11:26 GMT 2023","487","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with an invalid alphanumeric id"
"passed","Tue Jun 13 11:11:21 GMT 2023","Tue Jun 13 11:11:21 GMT 2023","474","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
