"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 11:06:03 GMT 2023","Tue Jun 13 11:06:04 GMT 2023","549","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"failed","Tue Jun 13 11:06:01 GMT 2023","Tue Jun 13 11:06:02 GMT 2023","557","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"passed","Tue Jun 13 11:06:02 GMT 2023","Tue Jun 13 11:06:03 GMT 2023","540","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 11:06:05 GMT 2023","Tue Jun 13 11:06:06 GMT 2023","523","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"passed","Tue Jun 13 11:06:04 GMT 2023","Tue Jun 13 11:06:05 GMT 2023","505","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with invalid email"
"passed","Tue Jun 13 11:06:05 GMT 2023","Tue Jun 13 11:06:05 GMT 2023","565","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 11:06:01 GMT 2023","Tue Jun 13 11:06:01 GMT 2023","578","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 11:06:03 GMT 2023","Tue Jun 13 11:06:03 GMT 2023","577","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password and valid email"
"passed","Tue Jun 13 11:06:06 GMT 2023","Tue Jun 13 11:06:06 GMT 2023","485","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 11:06:07 GMT 2023","Tue Jun 13 11:06:08 GMT 2023","489","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with wrong id","Test unsuccessfully retrieves tourist by wrong id"
"passed","Tue Jun 13 11:06:07 GMT 2023","Tue Jun 13 11:06:07 GMT 2023","492","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with an invalid alphanumeric id"
"passed","Tue Jun 13 11:06:04 GMT 2023","Tue Jun 13 11:06:04 GMT 2023","568","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"failed","Tue Jun 13 11:06:06 GMT 2023","Tue Jun 13 11:06:07 GMT 2023","499","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
