"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 09:38:47 GMT 2023","Tue Jun 13 09:38:47 GMT 2023","562","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 09:38:50 GMT 2023","Tue Jun 13 09:38:50 GMT 2023","541","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with invalid id"
"passed","Tue Jun 13 09:38:48 GMT 2023","Tue Jun 13 09:38:48 GMT 2023","560","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"passed","Tue Jun 13 09:38:45 GMT 2023","Tue Jun 13 09:38:45 GMT 2023","589","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password"
"failed","Tue Jun 13 09:38:49 GMT 2023","Tue Jun 13 09:38:50 GMT 2023","651","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"failed","Tue Jun 13 09:38:50 GMT 2023","Tue Jun 13 09:38:51 GMT 2023","606","tests","api_test","GetTouristEndpointTests","","","Successfully create a tourist and retrieve it with wrong id","Test successfully creates a tourist but retrieves tourist by wrong id"
"passed","Tue Jun 13 09:38:46 GMT 2023","Tue Jun 13 09:38:47 GMT 2023","609","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 09:38:48 GMT 2023","Tue Jun 13 09:38:49 GMT 2023","595","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 09:38:43 GMT 2023","Tue Jun 13 09:38:44 GMT 2023","642","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 09:38:47 GMT 2023","Tue Jun 13 09:38:48 GMT 2023","618","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 09:38:44 GMT 2023","Tue Jun 13 09:38:44 GMT 2023","549","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"passed","Tue Jun 13 09:38:45 GMT 2023","Tue Jun 13 09:38:46 GMT 2023","608","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 09:38:44 GMT 2023","Tue Jun 13 09:38:45 GMT 2023","581","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
