"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 13 11:05:30 GMT 2023","Tue Jun 13 11:05:31 GMT 2023","482","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"passed","Tue Jun 13 11:05:31 GMT 2023","Tue Jun 13 11:05:31 GMT 2023","469","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 11:05:36 GMT 2023","Tue Jun 13 11:05:36 GMT 2023","460","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with wrong id","Test unsuccessfully retrieves tourist by wrong id"
"failed","Tue Jun 13 11:05:35 GMT 2023","Tue Jun 13 11:05:35 GMT 2023","498","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"passed","Tue Jun 13 11:05:30 GMT 2023","Tue Jun 13 11:05:30 GMT 2023","550","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 11:05:33 GMT 2023","Tue Jun 13 11:05:33 GMT 2023","530","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with invalid email"
"passed","Tue Jun 13 11:05:34 GMT 2023","Tue Jun 13 11:05:34 GMT 2023","520","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"passed","Tue Jun 13 11:05:31 GMT 2023","Tue Jun 13 11:05:32 GMT 2023","513","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password and valid email"
"passed","Tue Jun 13 11:05:33 GMT 2023","Tue Jun 13 11:05:34 GMT 2023","525","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 11:05:35 GMT 2023","Tue Jun 13 11:05:36 GMT 2023","482","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with an invalid alphanumeric id"
"passed","Tue Jun 13 11:05:34 GMT 2023","Tue Jun 13 11:05:35 GMT 2023","471","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 11:05:32 GMT 2023","Tue Jun 13 11:05:32 GMT 2023","477","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 11:05:32 GMT 2023","Tue Jun 13 11:05:33 GMT 2023","529","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
