"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 11:06:37 GMT 2023","Tue Jun 13 11:06:37 GMT 2023","492","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 11:06:36 GMT 2023","Tue Jun 13 11:06:37 GMT 2023","483","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 11:06:38 GMT 2023","Tue Jun 13 11:06:39 GMT 2023","474","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with wrong id","Test unsuccessfully retrieves tourist by wrong id"
"passed","Tue Jun 13 11:06:34 GMT 2023","Tue Jun 13 11:06:35 GMT 2023","508","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password and valid email"
"passed","Tue Jun 13 11:06:33 GMT 2023","Tue Jun 13 11:06:33 GMT 2023","547","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 11:06:38 GMT 2023","Tue Jun 13 11:06:38 GMT 2023","475","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with an invalid alphanumeric id"
"passed","Tue Jun 13 11:06:36 GMT 2023","Tue Jun 13 11:06:36 GMT 2023","490","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with invalid email"
"passed","Tue Jun 13 11:06:35 GMT 2023","Tue Jun 13 11:06:36 GMT 2023","501","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 11:06:37 GMT 2023","Tue Jun 13 11:06:37 GMT 2023","485","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"failed","Tue Jun 13 11:06:37 GMT 2023","Tue Jun 13 11:06:38 GMT 2023","475","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"failed","Tue Jun 13 11:06:33 GMT 2023","Tue Jun 13 11:06:34 GMT 2023","493","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"passed","Tue Jun 13 11:06:35 GMT 2023","Tue Jun 13 11:06:35 GMT 2023","466","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 11:06:34 GMT 2023","Tue Jun 13 11:06:34 GMT 2023","466","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
