"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 11:21:39 GMT 2023","Tue Jun 13 11:21:39 GMT 2023","570","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 11:21:41 GMT 2023","Tue Jun 13 11:21:41 GMT 2023","499","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password and valid email"
"passed","Tue Jun 13 11:21:45 GMT 2023","Tue Jun 13 11:21:45 GMT 2023","486","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with an invalid alphanumeric id"
"failed","Tue Jun 13 11:21:44 GMT 2023","Tue Jun 13 11:21:45 GMT 2023","513","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"passed","Tue Jun 13 11:21:40 GMT 2023","Tue Jun 13 11:21:41 GMT 2023","561","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 11:21:43 GMT 2023","Tue Jun 13 11:21:44 GMT 2023","555","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"failed","Tue Jun 13 11:21:39 GMT 2023","Tue Jun 13 11:21:40 GMT 2023","580","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"passed","Tue Jun 13 11:21:42 GMT 2023","Tue Jun 13 11:21:42 GMT 2023","597","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 11:21:41 GMT 2023","Tue Jun 13 11:21:42 GMT 2023","485","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 11:21:43 GMT 2023","Tue Jun 13 11:21:43 GMT 2023","568","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 11:21:44 GMT 2023","Tue Jun 13 11:21:44 GMT 2023","488","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 11:21:42 GMT 2023","Tue Jun 13 11:21:43 GMT 2023","497","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with invalid email"
"passed","Tue Jun 13 11:21:45 GMT 2023","Tue Jun 13 11:21:46 GMT 2023","488","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with wrong id","Test unsuccessfully retrieves tourist by wrong id"
