"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 11:10:21 GMT 2023","Tue Jun 13 11:10:22 GMT 2023","506","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 11:10:25 GMT 2023","Tue Jun 13 11:10:25 GMT 2023","543","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 11:10:24 GMT 2023","Tue Jun 13 11:10:24 GMT 2023","502","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 11:10:27 GMT 2023","Tue Jun 13 11:10:28 GMT 2023","508","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with wrong id","Test unsuccessfully retrieves tourist by wrong id"
"passed","Tue Jun 13 11:10:26 GMT 2023","Tue Jun 13 11:10:26 GMT 2023","469","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 11:10:22 GMT 2023","Tue Jun 13 11:10:23 GMT 2023","507","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 11:10:23 GMT 2023","Tue Jun 13 11:10:23 GMT 2023","474","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password and valid email"
"passed","Tue Jun 13 11:10:24 GMT 2023","Tue Jun 13 11:10:25 GMT 2023","502","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with invalid email"
"failed","Tue Jun 13 11:10:26 GMT 2023","Tue Jun 13 11:10:27 GMT 2023","488","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"passed","Tue Jun 13 11:10:23 GMT 2023","Tue Jun 13 11:10:24 GMT 2023","478","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 11:10:27 GMT 2023","Tue Jun 13 11:10:27 GMT 2023","471","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with an invalid alphanumeric id"
"passed","Tue Jun 13 11:10:25 GMT 2023","Tue Jun 13 11:10:26 GMT 2023","499","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"failed","Tue Jun 13 11:10:22 GMT 2023","Tue Jun 13 11:10:22 GMT 2023","487","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
