"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 12:08:56 GMT 2023","Tue Jun 13 12:08:57 GMT 2023","601","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 12:08:55 GMT 2023","Tue Jun 13 12:08:56 GMT 2023","625","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 12:08:59 GMT 2023","Tue Jun 13 12:09:00 GMT 2023","558","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 12:08:58 GMT 2023","Tue Jun 13 12:08:58 GMT 2023","575","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 12:09:01 GMT 2023","Tue Jun 13 12:09:02 GMT 2023","1067","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"passed","Tue Jun 13 12:08:58 GMT 2023","Tue Jun 13 12:08:59 GMT 2023","616","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 12:09:00 GMT 2023","Tue Jun 13 12:09:01 GMT 2023","603","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"passed","Tue Jun 13 12:09:01 GMT 2023","Tue Jun 13 12:09:01 GMT 2023","522","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 12:08:57 GMT 2023","Tue Jun 13 12:08:58 GMT 2023","607","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password and valid email"
"passed","Tue Jun 13 12:09:03 GMT 2023","Tue Jun 13 12:09:03 GMT 2023","615","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with wrong id","Test unsuccessfully retrieves tourist by wrong id"
"passed","Tue Jun 13 12:08:59 GMT 2023","Tue Jun 13 12:08:59 GMT 2023","610","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with invalid email"
"passed","Tue Jun 13 12:09:02 GMT 2023","Tue Jun 13 12:09:03 GMT 2023","523","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with an invalid alphanumeric id"
"passed","Tue Jun 13 12:08:56 GMT 2023","Tue Jun 13 12:08:56 GMT 2023","613","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
