"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 12:50:53 GMT 2023","Tue Jun 13 12:50:53 GMT 2023","501","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 12:50:55 GMT 2023","Tue Jun 13 12:50:56 GMT 2023","497","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with an invalid alphanumeric id"
"passed","Tue Jun 13 12:50:56 GMT 2023","Tue Jun 13 12:50:56 GMT 2023","491","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with wrong id","Test unsuccessfully retrieves tourist by wrong id"
"passed","Tue Jun 13 12:50:50 GMT 2023","Tue Jun 13 12:50:50 GMT 2023","560","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"passed","Tue Jun 13 12:50:52 GMT 2023","Tue Jun 13 12:50:53 GMT 2023","571","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with invalid email"
"passed","Tue Jun 13 12:50:50 GMT 2023","Tue Jun 13 12:50:51 GMT 2023","539","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 12:50:49 GMT 2023","Tue Jun 13 12:50:50 GMT 2023","577","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 12:50:54 GMT 2023","Tue Jun 13 12:50:54 GMT 2023","561","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 12:50:52 GMT 2023","Tue Jun 13 12:50:52 GMT 2023","527","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 12:50:54 GMT 2023","Tue Jun 13 12:50:55 GMT 2023","991","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"passed","Tue Jun 13 12:50:51 GMT 2023","Tue Jun 13 12:50:52 GMT 2023","488","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 12:50:51 GMT 2023","Tue Jun 13 12:50:51 GMT 2023","496","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password and valid email"
"passed","Tue Jun 13 12:50:53 GMT 2023","Tue Jun 13 12:50:54 GMT 2023","499","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
