"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 09:49:57 GMT 2023","Tue Jun 13 09:49:57 GMT 2023","611","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 09:50:00 GMT 2023","Tue Jun 13 09:50:00 GMT 2023","650","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 09:49:58 GMT 2023","Tue Jun 13 09:49:59 GMT 2023","585","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 09:49:59 GMT 2023","Tue Jun 13 09:50:00 GMT 2023","590","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 09:50:01 GMT 2023","Tue Jun 13 09:50:02 GMT 2023","641","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 09:50:03 GMT 2023","Tue Jun 13 09:50:04 GMT 2023","580","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with invalid id"
"failed","Tue Jun 13 09:50:04 GMT 2023","Tue Jun 13 09:50:05 GMT 2023","602","tests","api_test","GetTouristEndpointTests","","","Successfully create a tourist and retrieve it with wrong id","Test successfully creates a tourist but retrieves tourist by wrong id"
"passed","Tue Jun 13 09:49:59 GMT 2023","Tue Jun 13 09:49:59 GMT 2023","605","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password"
"passed","Tue Jun 13 09:50:02 GMT 2023","Tue Jun 13 09:50:02 GMT 2023","616","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"passed","Tue Jun 13 09:50:01 GMT 2023","Tue Jun 13 09:50:01 GMT 2023","542","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 09:50:02 GMT 2023","Tue Jun 13 09:50:03 GMT 2023","527","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 09:49:57 GMT 2023","Tue Jun 13 09:49:58 GMT 2023","615","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"failed","Tue Jun 13 09:50:03 GMT 2023","Tue Jun 13 09:50:03 GMT 2023","616","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
