"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 11:28:53 GMT 2023","Tue Jun 13 11:28:53 GMT 2023","576","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"passed","Tue Jun 13 11:28:53 GMT 2023","Tue Jun 13 11:28:54 GMT 2023","484","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 11:28:50 GMT 2023","Tue Jun 13 11:28:51 GMT 2023","538","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password and valid email"
"passed","Tue Jun 13 11:28:50 GMT 2023","Tue Jun 13 11:28:50 GMT 2023","489","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 11:28:52 GMT 2023","Tue Jun 13 11:28:52 GMT 2023","570","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with invalid email"
"passed","Tue Jun 13 11:28:48 GMT 2023","Tue Jun 13 11:28:49 GMT 2023","581","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"failed","Tue Jun 13 11:28:54 GMT 2023","Tue Jun 13 11:28:54 GMT 2023","509","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"passed","Tue Jun 13 11:28:51 GMT 2023","Tue Jun 13 11:28:51 GMT 2023","498","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 11:28:51 GMT 2023","Tue Jun 13 11:28:52 GMT 2023","510","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 11:28:55 GMT 2023","Tue Jun 13 11:28:55 GMT 2023","496","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with wrong id","Test unsuccessfully retrieves tourist by wrong id"
"failed","Tue Jun 13 11:28:49 GMT 2023","Tue Jun 13 11:28:50 GMT 2023","557","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"passed","Tue Jun 13 11:28:54 GMT 2023","Tue Jun 13 11:28:55 GMT 2023","492","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with an invalid alphanumeric id"
"passed","Tue Jun 13 11:28:52 GMT 2023","Tue Jun 13 11:28:53 GMT 2023","557","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
