"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 13 09:39:31 GMT 2023","Tue Jun 13 09:39:31 GMT 2023","525","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"failed","Tue Jun 13 09:39:36 GMT 2023","Tue Jun 13 09:39:37 GMT 2023","504","tests","api_test","GetTouristEndpointTests","","","Successfully create a tourist and retrieve it with wrong id","Test successfully creates a tourist but retrieves tourist by wrong id"
"passed","Tue Jun 13 09:39:31 GMT 2023","Tue Jun 13 09:39:32 GMT 2023","538","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 09:39:29 GMT 2023","Tue Jun 13 09:39:29 GMT 2023","568","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"passed","Tue Jun 13 09:39:30 GMT 2023","Tue Jun 13 09:39:31 GMT 2023","505","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password"
"passed","Tue Jun 13 09:39:32 GMT 2023","Tue Jun 13 09:39:34 GMT 2023","1784","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 09:39:34 GMT 2023","Tue Jun 13 09:39:35 GMT 2023","520","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"passed","Tue Jun 13 09:39:29 GMT 2023","Tue Jun 13 09:39:30 GMT 2023","506","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"passed","Tue Jun 13 09:39:30 GMT 2023","Tue Jun 13 09:39:30 GMT 2023","482","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 09:39:35 GMT 2023","Tue Jun 13 09:39:35 GMT 2023","460","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 09:39:36 GMT 2023","Tue Jun 13 09:39:36 GMT 2023","539","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with invalid id"
"passed","Tue Jun 13 09:39:32 GMT 2023","Tue Jun 13 09:39:32 GMT 2023","500","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
"failed","Tue Jun 13 09:39:35 GMT 2023","Tue Jun 13 09:39:36 GMT 2023","485","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
