"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 13 11:05:00 GMT 2023","Tue Jun 13 11:05:00 GMT 2023","619","tests","api_test","LoginAndRegistrationTests","","","Successful Registration","Test successful registration of a user"
"failed","Tue Jun 13 11:05:06 GMT 2023","Tue Jun 13 11:05:06 GMT 2023","611","tests","api_test","GetTouristEndpointTests","","","Successfully create and retrieve a specific tourist","Test successfully creates a tourist and retrieves created tourist by id"
"passed","Tue Jun 13 11:05:07 GMT 2023","Tue Jun 13 11:05:08 GMT 2023","528","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with wrong id","Test unsuccessfully retrieves tourist by wrong id"
"passed","Tue Jun 13 11:05:00 GMT 2023","Tue Jun 13 11:05:01 GMT 2023","596","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty credentials"
"passed","Tue Jun 13 11:05:04 GMT 2023","Tue Jun 13 11:05:04 GMT 2023","613","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test re-registering already registered user"
"passed","Tue Jun 13 11:05:03 GMT 2023","Tue Jun 13 11:05:03 GMT 2023","609","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with invalid email"
"passed","Tue Jun 13 11:05:01 GMT 2023","Tue Jun 13 11:05:01 GMT 2023","600","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty password and valid email"
"passed","Tue Jun 13 11:05:06 GMT 2023","Tue Jun 13 11:05:07 GMT 2023","527","tests","api_test","GetTouristEndpointTests","","","Unsuccessfully retrieve a tourist with invalid id","Test unsuccessfully retrieves a tourist with an invalid alphanumeric id"
"passed","Tue Jun 13 11:05:04 GMT 2023","Tue Jun 13 11:05:06 GMT 2023","1606","tests","api_test","LoginAndRegistrationTests","","","Unsucsessfull Registration","Test registering user with password that is shorter than 6 characters"
"passed","Tue Jun 13 11:05:03 GMT 2023","Tue Jun 13 11:05:04 GMT 2023","534","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with valid email and incorrect password"
"passed","Tue Jun 13 11:05:01 GMT 2023","Tue Jun 13 11:05:02 GMT 2023","588","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with empty email"
"passed","Tue Jun 13 11:05:02 GMT 2023","Tue Jun 13 11:05:03 GMT 2023","538","tests","api_test","LoginAndRegistrationTests","","","Unsuccessful Login","Test unsuccessful login with incorrect credentials"
"passed","Tue Jun 13 11:04:59 GMT 2023","Tue Jun 13 11:05:00 GMT 2023","602","tests","api_test","LoginAndRegistrationTests","","","Successful Login","Test successful login with valid email and password"
